Part Number,Ja,Fe,Ma,Ap,My,Ju,Jl,Au,Se,Oc,No,De,1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,This Year,Last Year
7119904680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119904901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119906132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119906215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
23-3018808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119906568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119906097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7119906226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119932663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119932872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
7119909473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7119922028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7119919705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119909546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119928211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119907088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7119924324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7119907030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
7119908551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119909664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
D59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-4026148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119941417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119931115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7119922940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119919662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119913015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119932093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23-4026150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119936133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23-4045040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119930840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
7119921038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7119915014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7119936439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7119907114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7119963037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1811-3710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119907598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119907129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
7119936441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7119909631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7119931823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119913117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119919959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119931640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119932030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119908207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
7119909654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7119907663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119922038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0305-0823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119932098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119907874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7119909451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7119932841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119907803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23-5018048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119907894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
893.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119928534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119909377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119931020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
10-08278-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7119932891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23-5021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119932121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7119931697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119942074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23-5021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119913218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119907997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
7119985005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7119963276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
7129902330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18220661B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399.5
7129904704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129904877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11151465009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129901130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7119963073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
7129904588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
7129903784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129903893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
7129903979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
7129903329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7129904159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129904073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
7129903811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7119978279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7119963200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397
7129903589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
CR123A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
EHF.ON.01191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893.2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198Z0011A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19610011D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DLR,DOZEN,BLU,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-04428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129904831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7129902610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0317-0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27-08056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129904381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
7119987611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7129904221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7129903323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7129904876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23-7009340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-0719003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129904792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19520023B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119963342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
19020232A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129904632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7129904849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7129904710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
