,Part Number,Description,Supplier Name,Price,Quantity,Months No Sale,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales - This Year,Turnover,Total Cost
4719,11218394228,main bearing shell with groo,bmw,49.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.04
4722,11218405743,mounting parts set,bmw,16.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.88
4723,11218405743,mounting parts set,bmw,16.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.88
4729,11218530252,main bearing shell / green,bmw,64.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.96
4730,11218530252,main bearing shell / green,bmw,64.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.96
4734,11220016759,hex bolt,bmw,8.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27
4735,11220016759,hex bolt,bmw,8.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27
4738,11221257796,hex bolt,bmw,22.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.45
4739,11221257796,hex bolt,bmw,22.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.45
4742,11221262060,hex bolt,bmw,9.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85
4743,11221262060,hex bolt,bmw,9.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85
4747,11221337093,o-ring,bmw,7.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28
4748,11221337093,o-ring,bmw,7.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28
4753,11221341472,collar screw,bmw,18.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.15
4754,11221341472,collar screw,bmw,18.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.15
4759,11241258420,bearing shell,bmw,48.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.68
4760,11241258420,bearing shell,bmw,48.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.68
4763,11241258421,bearing shell,bmw,47.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74
4764,11241258421,bearing shell,bmw,47.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74
4782,11247671250,connecting rod bolt,bmw,25.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.8
4783,11247671250,connecting rod bolt,bmw,25.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.8
4787,11247687034,"bearing shell, cap side, red",bmw,74.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68
4788,11247687034,"bearing shell, cap side, red",bmw,74.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68
4791,11247687041,"bearing shell, rod side, blu",bmw,74.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68
4792,11247687041,"bearing shell, rod side, blu",bmw,74.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68
4795,11247688359,connecting rod bolt,bmw,25.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38
4796,11247688359,connecting rod bolt,bmw,25.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38
4806,11247700603,"bearing shell, cover side, r",bmw,64.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92
4807,11247700603,"bearing shell, cover side, r",bmw,64.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92
4810,11247700604,"bearing shell, rod side, blu",bmw,64.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92
4811,11247700604,"bearing shell, rod side, blu",bmw,64.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92
4825,11251265505,repair kit piston rings,bmw,99.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.06
4826,11251265505,repair kit piston rings,bmw,99.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.06
4837,11251337401,repair kit piston rings,bmw,99.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.06
4838,11251337401,repair kit piston rings,bmw,99.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.06
4848,11257652916,lock ring,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84
4849,11257652916,lock ring,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84
4863,11261460420,needle sleeve,bmw,41.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44
4864,11261460420,needle sleeve,bmw,41.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44
4876,11267675452,oil pump sprocket,bmw,220.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.4
4877,11267675452,oil pump sprocket,bmw,220.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.4
4881,11267684353,gasket,bmw,38.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08
4882,11267684353,gasket,bmw,38.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08
4888,11267689493,needle sleeve,bmw,53.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92
4889,11267689493,needle sleeve,bmw,53.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92
4916,11269898042,set starter drive,bmw,250.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
