,Part Number,Description,Supplier Name,Price,Quantity,Months No Sale,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales - This Year,Turnover,Total Cost
7843,13721337105,bow,bmw,10.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4
7844,13721337105,bow,bmw,10.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4
7847,13721337108,distribution piece,bmw,2.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76
7848,13721337108,distribution piece,bmw,2.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76
7854,13721337229,pipe,bmw,33.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.96
7855,13721337229,pipe,bmw,33.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.96
7860,13721337492,extension,bmw,8.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14
7861,13721337492,extension,bmw,8.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14
7864,13721337511,"vent hose, left",bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43
7865,13721337511,"vent hose, left",bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43
7868,13721337512,"vent hose, right",bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
7869,13721337512,"vent hose, right",bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
7877,13721338362,rubber grommet,bmw,19.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.11
7878,13721338362,rubber grommet,bmw,19.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.11
7887,13721460337,air filter element,bmw,66.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.64
7888,13721460337,air filter element,bmw,66.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.64
7903,13727718375,air filter element,bmw,47.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7
7904,13727718375,air filter element,bmw,47.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7
7907,13727724933,air filter element,bmw,49.99,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.48
7908,13727724933,air filter element,bmw,49.99,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.48
7915,13728406673,air filter element,bmw,48.99,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.92
7916,13728406673,air filter element,bmw,48.99,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.92
7937,13901718262,screw,bmw,1.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02
7938,13901718262,screw,bmw,1.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02
8010,1417712281,owner's handbook,bmw,31.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3
8011,1417712281,owner's handbook,bmw,31.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3
8034,1418522641,owner's handbook,bmw,78.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.64
8035,1418522641,owner's handbook,bmw,78.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.64
8088,1497708622,inlay for grill insert,bmw,0.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
8089,1497708622,inlay for grill insert,bmw,0.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
8113,1597720814,cd repair manuals g 450 x,bmw,128.99,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.92
8114,1597720814,cd repair manuals g 450 x,bmw,128.99,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.92
8146,1598569004,dvd repair manuals s models,bmw,149.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.46
8147,1598569004,dvd repair manuals s models,bmw,149.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.46
8156,16111181142,lock,bmw,24.99,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.97
8157,16111181142,lock,bmw,24.99,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.97
8161,16111230030,support rubber,bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65
8162,16111230030,support rubber,bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65
8185,16111342049,hose running meter,bmw,54.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.06
8186,16111342049,hose running meter,bmw,54.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.06
8194,16111453690,gasket ring,bmw,19.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48
8195,16111453690,gasket ring,bmw,19.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48
8198,16111453817,lockable filler cap,bmw,106.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8
8199,16111453817,lockable filler cap,bmw,106.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8
8202,16111453979,wave washer,bmw,4.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32
8203,16111453979,wave washer,bmw,4.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32
8210,16111455097,round seal ring,bmw,3.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
8211,16111455097,round seal ring,bmw,3.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
8221,16112307014,distance rubber,bmw,48.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51
8222,16112307014,distance rubber,bmw,48.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51
8228,16112309163,grommet,bmw,12.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32
8229,16112309163,grommet,bmw,12.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32
8232,16112309175,rubber washer,bmw,6.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04
8233,16112309175,rubber washer,bmw,6.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04
8236,16112309211,rubber mounting,bmw,6.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8
8237,16112309211,rubber mounting,bmw,6.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8
8241,16112309228,rubber mounting,bmw,5.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72
8242,16112309228,rubber mounting,bmw,5.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72
8251,16112313573,rubber mounting,bmw,4.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72
8252,16112313573,rubber mounting,bmw,4.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72
8253,16112313574,hose clamp,bmw,3.99,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2
8254,16112313574,hose clamp,bmw,3.99,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2
8272,16112328266,reduction insert,bmw,255.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6
8273,16112328266,reduction insert,bmw,255.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6
8279,16112328784,grommet,bmw,4.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8
8280,16112328784,grommet,bmw,4.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8
8290,16112347148,safety valve,bmw,53.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.52
8291,16112347148,safety valve,bmw,53.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.52
8294,16112347604,gasket,bmw,18.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84
8295,16112347604,gasket,bmw,18.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84
8300,16114080188,gasket,bmw,32.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.78
8301,16114080188,gasket,bmw,32.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.78
8355,16117683594,heat insulation,bmw,38.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44
8356,16117683594,heat insulation,bmw,38.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44
8364,16117686297,gasket,bmw,18.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84
8365,16117686297,gasket,bmw,18.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84
8371,16117691509,filler tube gasket,bmw,17.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2
8372,16117691509,filler tube gasket,bmw,17.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2
8385,16117696980,hose clamp,bmw,4.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
8386,16117696980,hose clamp,bmw,4.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
8391,16117700995,gasket,bmw,17.99,9.0,1,0.0,6.0,9.0,10.0,10.0,10.0,0.0,102.24
8401,16117705994,washer,bmw,6.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
8402,16117705994,washer,bmw,6.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
8415,16117721943,tankentluftungsventil,bmw,37.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82
8416,16117721943,tankentluftungsventil,bmw,37.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82
8422,16117724859,sucking jet pump with lines,bmw,225.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
8423,16117724859,sucking jet pump with lines,bmw,225.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
8431,16118529312,filler cap,bmw,345.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.4
8432,16118529312,filler cap,bmw,345.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.4
8451,16118552148,tank lid,bmw,630.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.6
8452,16118552148,tank lid,bmw,630.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.6
8453,16118557630,fuel tank,bmw,1760.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.6
8454,16118557630,fuel tank,bmw,1760.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.6
8472,16121180240,hose clamp,bmw,2.99,9.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32
8473,16121180240,hose clamp,bmw,2.99,9.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32
8480,16121233366,hose connector,bmw,8.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35
8481,16121233366,hose connector,bmw,8.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35
8484,16121233367,cap,bmw,3.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
8485,16121233367,cap,bmw,3.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
8492,16121237910,cap,bmw,12.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65
8493,16121237910,cap,bmw,12.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65
8504,16121240988,selector shaft,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92
8505,16121240988,selector shaft,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92
8509,16121450714,fuel filter,bmw,19.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.62
8510,16121450714,fuel filter,bmw,19.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.62
8513,16121453214,washer,bmw,6.99,9.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88
8514,16121453214,washer,bmw,6.99,9.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88
8517,16121455126,fuel filter,bmw,70.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.76
8518,16121455126,fuel filter,bmw,70.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.76
8533,16124084126,hose connector,bmw,21.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.52
8534,16124084126,hose connector,bmw,21.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.52
8538,16131183366,hose clamp,bmw,7.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
8539,16131183366,hose clamp,bmw,7.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
8545,16131379229,hose clamp,bmw,1.99,25.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5
8546,16131379229,hose clamp,bmw,1.99,25.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5
8562,16137704563,oval head screw,bmw,2.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
8563,16137704563,oval head screw,bmw,2.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
8574,16141183543,o-ring,bmw,21.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.48
8575,16141183543,o-ring,bmw,21.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.48
8598,16142305760,fuel hose,bmw,45.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11
8599,16142305760,fuel hose,bmw,45.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11
8617,16142325808,hose,bmw,63.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.36
8618,16142325808,hose,bmw,63.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.36
8626,16142347285,gasket,bmw,110.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4
8627,16142347285,gasket,bmw,110.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4
8630,16147654649,fuel hose,bmw,50.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
8631,16147654649,fuel hose,bmw,50.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
8646,16147680379,fuel pump,bmw,1010.99,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.2
8647,16147680379,fuel pump,bmw,1010.99,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.2
8668,16147694717,preformed seal,bmw,9.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67
8669,16147694717,preformed seal,bmw,9.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67
8675,16147697815,fuel level sensor,bmw,405.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.6
8676,16147697815,fuel level sensor,bmw,405.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.6
8720,16147723153,fuel level sensor,bmw,265.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.8
8721,16147723153,fuel level sensor,bmw,265.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.8
8738,16148523262,"fuel pump, electronic",bmw,365.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8
8739,16148523262,"fuel pump, electronic",bmw,365.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8
8740,16148523262,"fuel pump, electronic",bmw,365.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.8
8756,16148545351,fuel pump unit with lever se,bmw,560.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
8757,16148545351,fuel pump unit with lever se,bmw,560.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
8760,16148549916,retrofit kit,bmw,9.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.04
8761,16148549916,retrofit kit,bmw,9.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.04
8774,16148556078,fuel pump unit with lever se,bmw,955.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.6
8775,16148556078,fuel pump unit with lever se,bmw,955.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.6
8785,17111460400,buffer,bmw,1.73,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07
8786,17111460400,buffer,bmw,1.73,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07
8789,17111460497,pipe,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28
8790,17111460497,pipe,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28
8795,17111460718,o-ring,bmw,13.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64
8796,17111460718,o-ring,bmw,13.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64
8799,17111460759,gasket,bmw,5.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36
8800,17111460759,gasket,bmw,5.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36
8812,17111464984,o-ring,bmw,9.99,11.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.36
8813,17111464984,o-ring,bmw,9.99,11.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.36
8825,17111465286,cover,bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98
8826,17111465286,cover,bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98
8835,17117105798,cover lid,bmw,70.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.76
8836,17117105798,cover lid,bmw,70.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.76
8850,17117672755,mounting screw,bmw,3.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36
8851,17117672755,mounting screw,bmw,3.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36
8874,17117702123,bracket upper,bmw,24.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28
8890,17117722131,grommet,bmw,4.99,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48
8891,17117722131,grommet,bmw,4.99,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48
8898,17117727465,hose clamp,bmw,4.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12
8899,17117727465,hose clamp,bmw,4.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12
8907,17118528880,fan,bmw,495.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.4
8908,17118528880,fan,bmw,495.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.4
8911,17118530393,radiator,bmw,760.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.2
8912,17118530393,radiator,bmw,760.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.2
8929,17121461500,hose clamp,bmw,5.99,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.64
8930,17121461500,hose clamp,bmw,5.99,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.64
8934,17121464160,water hose,bmw,99.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.28
8935,17121464160,water hose,bmw,99.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.28
8941,17121465014,coolant hose,bmw,110.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2
8942,17121465014,coolant hose,bmw,110.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2
8952,17127530539,hose clamp,bmw,3.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44
8953,17127530539,hose clamp,bmw,3.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44
8958,17127678288,return hose,bmw,24.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28
8959,17127678288,return hose,bmw,24.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28
8972,17127701024,"hose, inlet",bmw,26.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26
8973,17127701024,"hose, inlet",bmw,26.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26
8976,17127707643,spring ring shell,bmw,4.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08
8977,17127707643,spring ring shell,bmw,4.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08
9001,17217704541,grommet,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84
9002,17217704541,grommet,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84
9061,18112343587,exhaust seal,bmw,22.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.88
9062,18112343587,exhaust seal,bmw,22.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.88
9073,18114090254,compression ring,bmw,19.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.28
9074,18114090254,compression ring,bmw,19.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.28
9080,18114090270,nut,bmw,67.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.52
9081,18114090270,nut,bmw,67.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.52
9085,18117652610,compression collar,bmw,23.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.96
9086,18117652610,compression collar,bmw,23.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.96
9089,18117653274,clamp,bmw,68.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96
9090,18117653274,clamp,bmw,68.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96
9093,18117673763,exhaust seal,bmw,21.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.16
9094,18117673763,exhaust seal,bmw,21.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.16
9101,18117684548,exhaust seal,bmw,24.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98
9102,18117684548,exhaust seal,bmw,24.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98
9111,18117696939,hex nut wiht flange,bmw,10.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8
9112,18117696939,hex nut wiht flange,bmw,10.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8
9131,18121342449,exhaust clamp,bmw,31.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7
9132,18121342449,exhaust clamp,bmw,31.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7
9136,18121342969,exhaust seal,bmw,18.99,12.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
9137,18121342969,exhaust seal,bmw,18.99,12.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
9138,18121451806,screw,bmw,3.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63
9139,18121451806,screw,bmw,3.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63
9147,18121457142,gasket,bmw,26.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42
9148,18121457142,gasket,bmw,26.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42
9156,18121465144,holder,bmw,82.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.16
9157,18121465144,holder,bmw,82.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.16
9163,18122310861,rubber mounting,bmw,52.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.68
9164,18122310861,rubber mounting,bmw,52.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.68
9178,18127661042,securing bolt,bmw,7.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7
9179,18127661042,securing bolt,bmw,7.99,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7
9187,18127661887,fillister head screw,bmw,9.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
9188,18127661887,fillister head screw,bmw,9.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
9202,18127684063,insulating washer,bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37
9203,18127684063,insulating washer,bmw,15.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37
9210,18127694733,clamp,bmw,68.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96
9211,18127694733,clamp,bmw,68.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96
9251,18211341179,rubber mounting,bmw,11.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.62
9252,18211341179,rubber mounting,bmw,11.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.62
9256,18211341324,cap nut,bmw,11.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72
9257,18211341324,cap nut,bmw,11.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72
9267,18211342835,inner hex bolt,bmw,8.99,14.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.16
9268,18211342835,inner hex bolt,bmw,8.99,14.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.16
9275,18211454493,clamp,bmw,27.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.08
9276,18211454493,clamp,bmw,27.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.08
9291,18212302071,pipe clamp left,bmw,25.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.08
9292,18212302071,pipe clamp left,bmw,25.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.08
9295,18212345045,flange,bmw,25.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.49
