,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
15928,T3330332,1.99,1.01,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,35.28,50.75,1
15930,A9520080,127.99,39.02,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.97,177.94,30.49,1
15938,T3800155,34.99,10.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.230000000000004,48.46000000000001,30.75,1
15941,A9700318,297.99,90.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.68,207.68,30.31,1
15943,A3330109,12.99,3.91,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,36.32,30.1,1
15945,A9638031,143.99,43.89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.10000000000001,200.20000000000002,30.48,1
15946,A9750663,11.99,3.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,8.38,30.11,1
15947,T1130062,314.99,95.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.87,219.87,30.2,1
15948,T1181550,303.99,91.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.72000000000003,212.72000000000003,30.02,1
15950,T3350079,0.99,0.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,2.76,30.3,1
15953,A9600773,1500.99,450.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,1050.0,30.05,1
