,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
32110,11129899381,122.99,42.17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-1,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2,2,2,80.82,161.64,34.29,0
32166,12137715848,270.99,98.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.8,172.8,36.23,1
32320,31427676129,205.99,58.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,147.60000000000002,147.60000000000002,28.35,1
32362,31428520150,37.99,14.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,23.840000000000003,23.840000000000003,37.25,0
32466,34117671780,92.99,45.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,47.839999999999996,95.67999999999999,48.55,1
32583,46548520068,329.99,115.97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,214.02,856.08,35.14,0
32925,3609-0005,21.99,11.71,3,0,1,0,2,-1,0,0,0,3,0,0,5,2,0,0,0,0,0,2,0,0,0,0,4,0,2,2,2,4,7,9,15,15,15,15,10.279999999999998,30.839999999999993,53.25,0
32973,314-0138,10.99,4.37,1,0,1,2,1,4,2,1,0,0,0,2,15,1,0,2,0,3,1,1,0,0,0,0,8,0,1,5,7,10,12,28,49,57,97,-92,6.62,6.62,39.76,0
33005,286283803,339.99,119.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,220.99,220.99,35.0,1
33084,22032083A,1.99,1.34,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,7,1,1,0,0,0,0,15,0,1,9,14,15,15,15,15,89,118,-54,0.6499999999999999,28.599999999999994,67.34,0
33095,77148548683,10.99,5.08,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,5.91,224.58,46.22,0
33110,T2307374,1.99,1.18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.81,4.050000000000001,59.3,0
33112,550037980,21.99,13.85,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,10,0,6,6,10,10,10,10,30,-11,-55,30,8.139999999999999,341.87999999999994,62.98,0
