,Part Number,Description,Supplier Name,Price,Quantity,Cost Per Unit,Total Cost,Months No Sale
6432,4402-0847,50R BLUETOOTH WITH MESH ,parts canada/power twins,778.99,3,409.99,1229.97,11
6433,2882853-VBA,"K-SEAT,PASS,SC,W/BACKREST,BLKV",polaris acceptance,579.99,9,405.99,3653.91,11
6442,2880239-650,"KIT-CONTROLS,RR,N,TI SLV",polaris acceptance,259.99,3,181.99,545.97,11
6444,2880654-156,"KIT-AIRBOX,INDN,50 ST,PAC,CHR",polaris acceptance,705.99,3,493.7000000000001,1481.1,10
6452,MDJS20200-30R,ROKKER JEAN,triumph motorcycles,449.99,1,292.49,292.49,11
6468,4261641,"180/55ZR17,(73W),ROSSO,4",thibault canada,393.99,1,165.27,165.27,9
6566,286170011,"MENS MOC TOE BOOT BR, 11",polaris acceptance,299.99,2,194.99,389.98,9
6567,286170012,"MENS MOC TOE BOOT BR, 12",polaris acceptance,299.99,2,194.99,389.98,9
6568,286170312,"MENS LACE UP BOOT BK, 12",polaris acceptance,299.99,2,194.99,389.98,9
6578,286284309,MW BECKMAN JKT 2 CE BLK XL,polaris acceptance,559.99,1,363.99,363.99,9
6579,28628463634,MW RIDING JEAN CE BLK 36 X 34,polaris acceptance,284.99,1,185.24,185.24,9
6582,286283809,WW BLACK HILLS JKT CE BLK XL,polaris acceptance,339.99,1,220.99,220.99,9
6583,286285314,WW RIDING LEGGING BLK 3XL,polaris acceptance,299.99,1,194.99,194.99,9
6585,286295309,GLOSS STRIPE HLMT ECE SIL XL,polaris acceptance,359.99,1,233.99,233.99,9
6606,2889301-266,"K-HANDLEBAR,REDRCH,V,BLK",polaris acceptance,279.99,1,195.99,195.99,11
6638,0301-0732,120/70R17 58V SCORPION RALLY S,parts canada/power twins,335.99,1,153.95000000000002,153.95000000000002,10
7378,0306-0793,130/70-18 63H BATTLAX BT46 REA,parts canada/power twins,312.99,1,203.13,203.13,10
7432,3807-0263,OPTIMATE 3 X 4 BANK,parts canada/power twins,350.99,3,198.46,595.38,10
7433,286285312,WW RIDING LEGGING BLK 2XL,polaris acceptance,299.99,2,194.99,389.98,9
7729,0317-0222,170/60R17 72V TL/TT ANAKEE 3 R,parts canada/power twins,414.99,4,269.72,1078.88,11
7813,2884708-266,"K-LIGHT,DRIVING,LED,BLK",polaris acceptance,294.99,4,206.49,825.96,9
7840,MLES22107-L,LDS BRAD AIR-L,triumph motorcycles,639.99,1,415.99,415.99,11
8570,KAB00267/A,FR CALIPER P81 -ANODIZED (NO P,royal enfield,329.99,4,235.12,940.48,10
8642,A9788022,DRESSER BAR KIT BLACK,triumph motorcycles,260.99,2,169.0,338.0,11
8667,A9701541,"SEAT, RIDER, LO",triumph motorcycles,320.99,5,208.0,1040.0,11
8682,A9770383,CENTRE STAND,triumph motorcycles,330.99,1,214.5,214.5,10
8818,A9838094,"FOG LAMPS, LED",triumph motorcycles,485.99,1,315.25,315.25,11
8848,A9759193,UPRIGHTS KIT BACKREST CHR,triumph motorcycles,350.99,1,227.5,227.5,9
8850,T2310122,"SEAT, RIDER, CO",triumph motorcycles,374.99,1,243.24,243.24,11
8857,T3880072,"CHARGER, BATTER",triumph motorcycles,880.99,2,880.69,1761.38,9
9389,286170208,"SHORT ENGINEER 2 BK, 8",polaris acceptance,294.99,1,191.74,191.74,11
9391,2889605-156,"K-BASE,TRUNK,CHR",polaris acceptance,519.99,1,363.99,363.99,11
9415,920-0145,Big Bore Kit 865cc (Royal Enfield 650 ,royal enfield,1099.99,1,399.9500000000001,399.9500000000001,10
9416,2884226-VNA,"K-SEAT,DRIVER,COMF,BROWN",polaris acceptance,389.99,9,226.09,2034.81,10
9421,T2022080,"DISC,FRONT,FLOATING",triumph motorcycles,340.99,1,109.34,109.34,9
9423,0301-0764,130/70R18 63H AV91 COBRA CHROM,parts canada/power twins,499.99,1,216.43,216.43,9
9498,286073803,WW IDAHO WAXED JKT-M,polaris acceptance,449.99,2,292.49,584.98,9
9515,2884711-266,"K-LIGHT,MNT,CHFTN,BLK",polaris acceptance,294.99,2,206.49,412.98,11
9529,286273912,"WMNS LINDY VEST BK, 2XL",polaris acceptance,259.99,4,168.99,675.96,9
9537,286283702,MW BLACK HILLS JKT CE BLK S,polaris acceptance,339.99,1,220.99,220.99,9
9538,286283712,MW BLACK HILLS JKT CE BLK 2XL,polaris acceptance,339.99,1,220.99,220.99,9
9539,28628463232,MW RIDING JEAN CE BLK 32 X 32,polaris acceptance,284.99,2,185.24,370.48,9
9540,28628463432,MW RIDING JEAN CE BLK 34 X 32,polaris acceptance,284.99,2,185.24,370.48,9
9541,28628463434,MW RIDING JEAN CE BLK 34 X 34,polaris acceptance,284.99,1,185.24,185.24,9
9542,28628463632,MW RIDING JEAN CE BLK 36 X 32,polaris acceptance,284.99,2,185.24,370.48,9
9545,286283812,WW BLACK HILLS JKT CE BLK 2XL,polaris acceptance,339.99,1,220.99,220.99,9
10829,MLES22107-S,LDS BRAD AIR-S,triumph motorcycles,639.99,1,415.99,415.99,11
11671,A9759201,RACK KIT CHROME,triumph motorcycles,290.99,3,188.5,565.5,9
