,Part Number,Description,Supplier Name,Price,Quantity,Cost Per Unit,Total Cost,Months No Sale
3651,076AF5107,givi windscreen sliding clear,thibault canada,279.99,0,195.99,0.0,10
4332,09-0916,"arai,regent-x,gunm/frost,lg",full bore,749.99,0,458.97,0.0,11
5809,10-08214,sr/f top rack assembly,zero moto internationalrcycles,300.0,0,180.0,0.0,9
6160,1017022/A,fork end lh assy,royal enfield,271.99,0,175.69,0.0,11
6191,1019700-266,substituted by 1024706-266,polaris,788.99,0,560.1800000000001,0.0,11
6476,1020-3851,pc-6 suz w/i sv650 03-06,parts canada/power twins,809.95,0,566.97,0.0,10
6477,1020-3898,pc-6 tri w/i t120 16-20,parts canada/power twins,809.95,0,566.97,0.0,10
6525,1023214-1617,"fender assembly, rear, cs blk",polaris,1185.99,0,842.05,0.0,11
6526,1023214-266,substituted by 1027326-266,polaris,1115.99,0,792.35,0.0,11
6564,1024443-2062,"weld-tank,fuel,ms,sprtblue/gx",polaris,2711.99,0,2169.59,0.0,11
6567,1024443-800,"weld-tank,fuel,ms,onyxblk",polaris,2711.99,0,2169.59,0.0,11
6574,1024706-2056,"asm-fender,frt,vr,slvqrtz/gx",polaris,1547.99,0,1238.39,0.0,9
6575,1024706-266,"asm-fender,frt,vr,blk",polaris,788.99,0,560.1800000000001,0.0,11
6576,1024706-800,"asm-fender,frt,vr,onyxblk",polaris,897.99,0,682.47,0.0,9
6594,1025271-866,"asm-fender,rr,onyx,blk,smk",polaris,1641.99,1,1165.81,1165.81,10
6598,1025320-866,"asm-fender,frt,onyx,blk,smk",polaris,1070.99,0,760.4000000000001,0.0,10
6607,1025508-675,"asm-tank,fuel,wht smk",polaris,2711.99,0,2169.59,0.0,11
6614,1026044-727,"asm-lid,saddlebag,lh,dpwtrmt",polaris,967.99,0,735.6700000000001,0.0,9
6620,1026492-2034,"asm-tank,fuel,onyx,blk,smk,gx",polaris,2711.99,0,2169.59,0.0,10
6627,1026918-2062,"weld-tank,fuel,ms,sprtblue/gx",polaris,2583.99,0,2067.19,0.0,10
6628,1026918-800,"weld-tank,fuel,ms,onyxblk",polaris,2583.99,0,2067.19,0.0,9
6631,1027326-2056,"asm-fender,rear,vrl,",polaris,1288.99,0,902.29,0.0,11
6632,1027326-266,"asm-fender,rear,vrl,blk",polaris,1115.99,0,792.35,0.0,10
6633,1027326-800,"asm-fender,rear,vrl,onyxblk",polaris,1288.99,0,902.29,0.0,9
7050,110-10121,140/80r17 69h tourance rear,parts canada/power twins,314.99,0,204.72000000000003,0.0,9
7815,11127723427,l-cylinder head cover,bmw,402.82,0,290.03,0.0,11
7899,11128549653,"cylinder head cover, asphalt",bmw,402.82,0,290.03,0.0,9
7954,11137708307,oil pan,bmw,495.0,0,360.0,0.0,9
10577,1206128-266,"asm-primary cover,cr blk",polaris,897.99,0,592.6700000000001,0.0,10
10846,12131542973,ignition coil,bmw,255.49,0,163.2,0.0,10
10853,12132346570,ignition coil,bmw,270.49,0,172.8,0.0,9
10901,12137924318,spark-plug shaft ignition co,bmw,255.49,0,163.2,0.0,11
11081,1224-0032,regina 525 zrp chain 120 links,parts canada/power twins,347.99,1,163.44500000000002,163.44500000000002,9
11084,1224-0041,regina 530 zrt chain 120 links,parts canada/power twins,278.99,0,181.32,0.0,11
11088,122489,"100/90-19,57v,battlax,adv,trail,",kimpex,293.99,0,130.51000000000002,0.0,9
11158,12311540516,set alternator with freewhee,bmw,860.49,0,619.2,0.0,10
11211,12319467618,voltage regulator,bmw,405.49,0,291.6,0.0,9
11258,1240058,extrusion gripper/de-icer,polaris,364.99,0,291.99,0.0,11
